Method,Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
nlml_vecchia_fullMF,MinMax,60,401.466254392927,10.9912072502984,277.335722940939,0.134350766027246,0.647628676062953,0.00951535955278563,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,Corr,10,411.884639302868,36.8508972334467,272.312802777673,0.371448346377322,4.52410610024911,0.0274543586083325,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,Corr,20,406.536282820495,20.0732802937405,278.393706752633,0.269390762035959,2.00907002128617,0.0057368462613422,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,Corr,30,403.870698466198,14.5811416584029,278.554676679376,0.202335409126214,1.18577509995259,0.00516195371478193,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,Corr,40,401.686337359915,11.6341387099607,277.132957415252,0.16943081800742,0.744006834126868,0.0102395220828586,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,Corr,60,400.70111846839,8.93557349759567,277.861084844569,0.112818364270502,0.339480440722926,0.00763906719959251,NaN,11,12355,1.00963847629216
nlml_vecchia_fullMF,MinMax,10,409.81942102119,36.6964091295141,268.336854318249,0.321286412680053,14.9734521297208,0.0416541154448709,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,MinMax,20,401.017152837065,22.9760908971552,264.452636182359,0.275465695293581,9.0011825892427,0.0555263227296365,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,MinMax,30,400.18288754411,13.0158720032765,272.744324490327,0.196160851830003,4.66563359475123,0.0259131509342662,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,MinMax,40,400.490285771674,9.70455119889539,276.670441749836,0.157168610101089,3.2242602939399,0.0118913039259962,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,MinMax,60,400.974738025411,5.03928827712377,282.304609179082,0.0939342699872614,1.19353424413834,0.00823072210889393,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,Corr,10,406.891846541608,26.0623180548267,273.115796433772,0.312291602675458,10.3445756604972,0.0245864654548052,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,Corr,20,399.888869667926,12.0209431776268,273.151217563609,0.213508833165819,4.23255449120992,0.0244599614228045,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,Corr,30,399.814409464767,7.05398532863285,277.969255006284,0.147132901893558,2.0705047072316,0.00725268526779667,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,Corr,40,398.720158212165,5.09062594947522,277.744111880238,0.118518174356218,1.21588084074573,0.00805676784091372,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,Corr,60,399.244181500201,3.40784142162227,280.474942984164,0.0749821557292439,0.483387424143964,0.00169620014595218,NaN,12,12356,1.01261825823354
nlml_vecchia_fullMF,MinMax,10,431.641755882485,56.320044995505,292.357888174849,0.383641469619599,31.6355774554231,0.0441353190669992,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,MinMax,20,414.380846657324,33.5017334944879,280.654381225542,0.303119412658051,19.2234398328915,0.00233707979593075,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,MinMax,30,403.261680652437,15.5075902218443,276.410192488413,0.233686838432694,9.43543327115935,0.0128207371827349,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,MinMax,40,402.989767508989,10.220861337388,281.153095085973,0.175082836262766,6.55968996806874,0.00411820073313028,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,MinMax,60,400.209593640267,3.86564298939425,281.947965696523,0.136792039712353,3.10273633883021,0.00695702435353908,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,Corr,10,404.87808309051,26.2799753470986,268.870612239306,0.338149591844215,15.2951274335257,0.0397478096081747,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,Corr,20,399.279043814224,7.96786204938985,275.984646984441,0.207972162831,5.33415944514411,0.0143405425601111,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,Corr,30,397.736865541816,3.58305820383373,277.285094285181,0.143754868533579,2.94902289477216,0.00969608789612156,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,Corr,40,397.04631797391,1.35792637770305,278.1291309755,0.110650562918157,1.73865102071925,0.00668167113298356,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,Corr,60,396.112969519682,-0.672567476306085,278.292927921053,0.0839814179436852,0.634153470296091,0.00609668203939402,NaN,13,12357,0.899252231565318
nlml_vecchia_fullMF,MinMax,10,392.37244951237,-3.68548696139442,273.824807391518,0.329756590127543,0.894395362097491,0.0220541862244083,NaN,14,12358,1.1495218040594
