Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
Corr,60,408.651843302844,20.6936575763541,282.004450434716,0.0703079954100666,0.0486119402277854,0.0071589302500905,0.93663764556098,16,12360,0.922454493575754
MinMax,10,439.348910405201,57.2083046794324,306.883937536353,0.340387113699128,0.455010771946624,0.0960139149149151,1.09205999734226,17,12361,0.919186377941788
MinMax,20,431.071792878624,50.1147075809554,297.423299581676,0.254065033604507,0.27459535415075,0.0622259267734063,1.13640737106122,17,12361,0.919186377941788
MinMax,30,429.340254477853,44.7255684504621,299.349361910628,0.195997958703697,0.137530368038588,0.0691047198782893,1.02295859278416,17,12361,0.919186377941788
MinMax,40,424.256966349079,42.8792502499914,291.029103853549,0.168363740534883,0.090571925812772,0.0393895165364378,1.11856199239228,17,12361,0.919186377941788
MinMax,60,419.386787052439,39.3286267781281,284.839368732134,0.103461700079504,0.000266935520951301,0.0172833226535957,0.944062506054477,17,12361,0.919186377941788
Corr,10,437.307054030342,73.3499332444754,286.658596221592,0.482630795797636,0.86554982865359,0.0237805628117119,1.1051455717542,17,12361,0.919186377941788
Corr,20,420.131759514224,42.3416742164902,283.31626621734,0.237730737562783,0.0768994542395012,0.0118436715481739,1.06790595630456,17,12361,0.919186377941788
Corr,30,416.101628167162,40.2304922127374,277.367185526969,0.174486711535425,0.0232045829404302,0.0094030423396325,1.06432374746992,17,12361,0.919186377941788
Corr,40,416.265717437259,38.813044562879,279.112811717022,0.122432205198306,0.0128461549860153,0.00316866392968002,0.932398003269752,17,12361,0.919186377941788
Corr,60,418.042739305372,38.369428409359,283.110471606769,0.0730328998760509,0.0241288924416697,0.0111086908951896,0.950689647710978,17,12361,0.919186377941788
MinMax,10,413.441687580667,-2.0396877554324,314.317484322151,0.366743518986254,0.912783902742461,0.122562432423165,1.33992677428652,18,12362,1.17176886146532
MinMax,20,403.06564201265,-10.2511054183507,301.776810849034,0.303384253063761,0.561667512695039,0.0777743133385195,1.33629329995704,18,12362,1.17176886146532
MinMax,30,393.045591855897,-17.0829748896015,288.568580006779,0.230359712095965,0.269539960000531,0.0306020608172692,1.29345363502382,18,12362,1.17176886146532
MinMax,40,394.400082856495,-19.0047562866921,293.199343405065,0.199592463654488,0.187365483642578,0.0471405013547642,1.47792512172284,18,12362,1.17176886146532
MinMax,60,384.16289482375,-23.4934375707641,277.213648623647,0.116557911635815,0.00456843486384649,0.00995126513255764,1.20594216405339,18,12362,1.17176886146532
Corr,10,405.318103445457,6.59752956171246,289.433098734585,0.370588406504081,1.28210728744205,0.0336896276704293,1.3907472507992,18,12362,1.17176886146532
Corr,20,395.352075408571,-20.1304206253932,296.228992847918,0.225745009091398,0.139232601449203,0.0579606778247187,1.23649559476532,18,12362,1.17176886146532
Corr,30,392.988419630742,-22.3679570334533,293.73921770032,0.156790641234121,0.0435565880677896,0.0490686238179181,1.14468395203994,18,12362,1.17176886146532
Corr,40,390.024129933125,-23.6490303318925,289.091711603527,0.127272210429472,0.0112215087723432,0.0324703879292321,1.2011957613024,18,12362,1.17176886146532
Corr,60,384.821023801315,-24.1071234245899,279.143592432603,0.0715713452221944,0.0308093557941687,0.00305860874313208,1.17327879417752,18,12362,1.17176886146532
MinMax,10,404.019335729931,-19.7038937223401,313.136986587586,0.35341288269907,0.540098498686856,0.118346383183186,1.06871880098879,19,12363,0.898047235536354
MinMax,20,392.401754280592,-27.9460775400935,298.144007506661,0.306184840546845,0.347720648638571,0.0648000292024059,0.968229283645614,19,12363,0.898047235536354
MinMax,30,382.192397301351,-36.3028796305343,286.082095638619,0.206176162728077,0.152667534684092,0.0217217724340191,0.895908664459383,19,12363,0.898047235536354
MinMax,40,381.232324910109,-38.6266302049791,286.48570143058,0.174286386045817,0.0984297077386129,0.0231632216942605,0.859655221016739,19,12363,0.898047235536354
MinMax,60,375.296207928393,-43.4094438009829,279.396281063152,0.100394114595809,0.01320422534585,0.00215613681773848,0.881504913845428,19,12363,0.898047235536354
Corr,10,390.516354684938,-15.9920189169773,282.419149692236,0.402563773618241,0.62673603438049,0.00863982259610907,1.11154206167955,19,12363,0.898047235536354
